"No.","Time","Source","Destination","Protocol","Length","Info"
"143","0.293078","57.144.100.192","192.168.137.7","UDP","442","443  >  48513 Len=400"
"144","0.293109","57.144.100.192","192.168.137.7","UDP","1274","443  >  48513 Len=1232"
"145","0.293156","57.144.100.192","192.168.137.7","UDP","1274","443  >  48513 Len=1232"
"146","0.293189","57.144.100.192","192.168.137.7","UDP","506","443  >  48513 Len=464"
"147","0.293222","57.144.100.192","192.168.137.7","UDP","1274","443  >  48513 Len=1232"
"148","0.293309","57.144.100.192","192.168.137.7","UDP","1274","443  >  48513 Len=1232"
"149","0.293347","57.144.100.192","192.168.137.7","UDP","1274","443  >  48513 Len=1232"
"150","0.293379","57.144.100.192","192.168.137.7","UDP","506","443  >  48513 Len=464"
"151","0.293410","57.144.100.192","192.168.137.7","UDP","1274","443  >  48513 Len=1232"
"152","0.293548","192.168.137.7","57.144.100.192","UDP","1294","48513  >  443 Len=1252"
"153","0.293548","192.168.137.7","57.144.100.192","UDP","1294","48513  >  443 Len=1252"
"154","0.293548","192.168.137.7","57.144.100.192","UDP","654","48513  >  443 Len=612"
"155","0.299210","192.168.137.7","57.144.100.192","UDP","142","36465  >  443 Len=100"
"156","0.299210","192.168.137.7","57.144.100.192","UDP","78","48513  >  443 Len=36"
"157","0.302308","192.168.137.7","57.144.100.192","UDP","110","48513  >  443 Len=68"
"158","0.302308","192.168.137.7","57.144.100.192","UDP","78","48513  >  443 Len=36"
"159","0.302308","192.168.137.7","57.144.100.192","UDP","78","48513  >  443 Len=36"
"160","0.315850","57.144.100.192","192.168.137.7","UDP","1274","443  >  48513 Len=1232"
"161","0.315971","57.144.100.192","192.168.137.7","UDP","1274","443  >  48513 Len=1232"
"162","0.316017","57.144.100.192","192.168.137.7","UDP","954","443  >  48513 Len=912"
"163","0.316065","57.144.100.192","192.168.137.7","UDP","1274","443  >  48513 Len=1232"
"164","0.316103","57.144.100.192","192.168.137.7","UDP","1274","443  >  48513 Len=1232"
"165","0.316140","57.144.100.192","192.168.137.7","UDP","1274","443  >  48513 Len=1232"
"166","0.316177","57.144.100.192","192.168.137.7","UDP","1082","443  >  48513 Len=1040"
"167","0.316214","57.144.100.192","192.168.137.7","UDP","378","443  >  48513 Len=336"
"168","0.316250","57.144.100.192","192.168.137.7","UDP","1274","443  >  48513 Len=1232"
