"No.","Time","Source","Destination","Protocol","Length","Info"
"131","0.193288","57.144.192.144","192.168.137.7","TCP","66","443  >  59842 [ACK] Seq=208 Ack=2160 Win=69888 Len=0 TSval=2221112192 TSecr=626970562"
"132","0.193395","57.144.192.144","192.168.137.7","TLSv1.3","243","Application Data"
"133","0.203116","172.253.118.136","192.168.137.7","UDP","69","443  >  49149 Len=27"
"134","0.216107","74.125.24.119","192.168.137.7","UDP","157","443  >  37385 Len=115"
"135","0.222689","192.168.137.7","74.125.24.119","UDP","210","37385  >  443 Len=168"
"136","0.233224","192.168.137.7","172.253.118.136","UDP","74","49149  >  443 Len=32"
"137","0.236310","216.239.32.223","192.168.137.7","UDP","1288","443  >  43795 Len=1246"
"138","0.236535","216.239.32.223","192.168.137.7","UDP","1292","443  >  43795 Len=1250"
"139","0.236627","216.239.32.223","192.168.137.7","UDP","1292","443  >  43795 Len=1250"
"140","0.236830","216.239.32.223","192.168.137.7","UDP","1292","443  >  43795 Len=1250"
"141","0.236899","216.239.32.223","192.168.137.7","UDP","1292","443  >  43795 Len=1250"
"142","0.236968","216.239.32.223","192.168.137.7","UDP","1292","443  >  43795 Len=1250"
"143","0.237037","216.239.32.223","192.168.137.7","UDP","1292","443  >  43795 Len=1250"
"144","0.237106","216.239.32.223","192.168.137.7","UDP","1292","443  >  43795 Len=1250"
"145","0.237177","216.239.32.223","192.168.137.7","UDP","1292","443  >  43795 Len=1250"
"146","0.237249","216.239.32.223","192.168.137.7","UDP","1292","443  >  43795 Len=1250"
"147","0.237319","216.239.32.223","192.168.137.7","UDP","1292","443  >  43795 Len=1250"
"148","0.237390","216.239.32.223","192.168.137.7","UDP","1292","443  >  43795 Len=1250"
"149","0.237460","216.239.32.223","192.168.137.7","UDP","1292","443  >  43795 Len=1250"
"150","0.237532","216.239.32.223","192.168.137.7","UDP","1292","443  >  43795 Len=1250"
"151","0.239876","192.168.137.7","57.144.192.144","TCP","66","59842  >  443 [ACK] Seq=2160 Ack=385 Win=68096 Len=0 TSval=626970667 TSecr=2221112193"
"152","0.249563","216.239.32.223","192.168.137.7","UDP","1292","443  >  43795 Len=1250"
"153","0.249751","216.239.32.223","192.168.137.7","UDP","1292","443  >  43795 Len=1250"
"154","0.249828","216.239.32.223","192.168.137.7","UDP","901","443  >  43795 Len=859"
"155","0.249910","172.253.118.136","192.168.137.7","UDP","110","443  >  49149 Len=68"
"156","0.250120","192.168.137.7","216.239.32.223","UDP","79","43795  >  443 Len=37"
"157","0.264650","192.168.137.7","216.239.32.223","UDP","75","43795  >  443 Len=33"
"158","0.272811","74.125.24.119","192.168.137.7","UDP","144","443  >  37385 Len=102"
"159","0.278825","192.168.137.7","172.253.118.136","UDP","78","49149  >  443 Len=36"
"160","0.293948","192.168.137.7","74.125.24.119","UDP","79","37385  >  443 Len=37"
"161","0.294159","216.239.32.223","192.168.137.7","UDP","68","443  >  43795 Len=26"
"162","0.306574","192.168.137.7","74.125.24.119","UDP","210","37385  >  443 Len=168"
"163","0.314235","57.144.192.196","192.168.137.7","QUIC","250","Protected Payload (KP0)"
"164","0.318930","192.168.137.7","57.144.192.196","QUIC","110","Protected Payload (KP0), DCID=b200cf0a049dd493"
"165","0.328146","57.144.192.196","192.168.137.7","QUIC","90","Protected Payload (KP0)"
"166","0.331229","192.168.137.7","57.144.192.196","QUIC","110","Protected Payload (KP0), DCID=b200cf0a049dd493"
"167","0.337093","172.253.118.136","192.168.137.7","UDP","66","443  >  49149 Len=24"
"168","0.337992","192.168.137.7","74.125.24.119","UDP","210","37385  >  443 Len=168"
"169","0.346387","57.144.192.196","192.168.137.7","QUIC","122","Protected Payload (KP0)"
"170","0.346548","57.144.192.196","192.168.137.7","QUIC","90","Protected Payload (KP0)"
"171","0.354196","74.125.24.119","192.168.137.7","UDP","71","443  >  37385 Len=29"
"172","0.354382","74.125.24.119","192.168.137.7","UDP","145","443  >  37385 Len=103"
"173","0.360034","192.168.137.7","57.144.192.196","QUIC","78","Protected Payload (KP0), DCID=b200cf0a049dd493"
"174","0.367496","192.168.137.7","74.125.24.119","UDP","222","37385  >  443 Len=180"
"175","0.374430","57.144.192.196","192.168.137.7","QUIC","122","Protected Payload (KP0)"
"176","0.374621","74.125.24.119","192.168.137.7","UDP","157","443  >  37385 Len=115"
"177","0.388094","192.168.137.7","74.125.24.119","UDP","79","37385  >  443 Len=37"
"178","0.388094","192.168.137.7","57.144.192.196","QUIC","78","Protected Payload (KP0), DCID=b200cf0a049dd493"
"179","0.389453","192.168.137.7","74.125.24.119","UDP","238","37385  >  443 Len=196"
"180","0.397286","57.144.192.144","192.168.137.7","TLSv1.3","92","Application Data"
"181","0.397472","57.144.192.144","192.168.137.7","TLSv1.3","92","Application Data"
"182","0.397557","57.144.192.196","192.168.137.7","QUIC","186","Protected Payload (KP0)"
"183","0.400773","192.168.137.7","57.144.192.144","TCP","66","59842  >  443 [ACK] Seq=2160 Ack=411 Win=68096 Len=0 TSval=626970827 TSecr=2221112397"
"184","0.400773","192.168.137.7","57.144.192.144","TCP","66","59842  >  443 [ACK] Seq=2160 Ack=437 Win=68096 Len=0 TSval=626970828 TSecr=2221112397"
"185","0.407148","192.168.137.7","57.144.192.196","QUIC","110","Protected Payload (KP0), DCID=b200cf0a049dd493"
"186","0.413119","74.125.24.119","192.168.137.7","UDP","158","443  >  37385 Len=116"
"187","0.423077","74.125.24.119","192.168.137.7","UDP","71","443  >  37385 Len=29"
"188","0.423258","74.125.24.119","192.168.137.7","UDP","147","443  >  37385 Len=105"
"189","0.426452","192.168.137.7","74.125.24.119","UDP","79","37385  >  443 Len=37"
"190","0.447146","57.144.192.196","192.168.137.7","QUIC","90","Protected Payload (KP0)"
"191","0.496533","74.125.24.119","192.168.137.7","UDP","68","443  >  37385 Len=26"
"192","0.532744","192.168.137.7","172.253.118.136","UDP","1292","49149  >  443 Len=1250"
"193","0.532744","192.168.137.7","172.253.118.136","UDP","780","49149  >  443 Len=738"
"194","0.557851","192.168.137.7","172.253.118.136","UDP","1226","49149  >  443 Len=1184"
"195","0.557851","192.168.137.7","172.253.118.136","UDP","1292","49149  >  443 Len=1250"
"196","0.557851","192.168.137.7","172.253.118.136","UDP","550","49149  >  443 Len=508"
"197","0.568936","172.253.118.136","192.168.137.7","UDP","69","443  >  49149 Len=27"
"198","0.576010","172.253.118.136","192.168.137.7","UDP","126","443  >  49149 Len=84"
"199","0.576106","172.253.118.136","192.168.137.7","UDP","64","443  >  49149 Len=22"
"200","0.578575","192.168.137.7","172.253.118.136","UDP","77","49149  >  443 Len=35"
"201","0.583888","192.168.137.7","64.233.170.113","UDP","1292","40907  >  443 Len=1250"
"202","0.583888","192.168.137.7","64.233.170.113","UDP","1292","40907  >  443 Len=1250"
"203","0.583888","192.168.137.7","64.233.170.113","UDP","760","40907  >  443 Len=718"
"204","0.583888","192.168.137.7","64.233.170.113","UDP","87","40907  >  443 Len=45"
"205","0.591377","192.168.137.7","74.125.24.119","UDP","209","37385  >  443 Len=167"
"206","0.591816","172.253.118.136","192.168.137.7","UDP","69","443  >  49149 Len=27"
"207","0.594681","192.168.137.7","172.253.118.136","UDP","73","49149  >  443 Len=31"
"208","0.597934","172.253.118.136","192.168.137.7","UDP","138","443  >  49149 Len=96"
"209","0.623933","192.168.137.7","172.253.118.136","UDP","463","49149  >  443 Len=421"
"210","0.644417","172.253.118.136","192.168.137.7","UDP","87","443  >  49149 Len=45"
"211","0.644599","172.253.118.136","192.168.137.7","UDP","63","443  >  49149 Len=21"
"212","0.644683","64.233.170.113","192.168.137.7","UDP","121","443  >  40907 Len=79"
"213","0.644753","74.125.24.119","192.168.137.7","UDP","1287","443  >  37385 Len=1245"
"214","0.644829","74.125.24.119","192.168.137.7","UDP","1292","443  >  37385 Len=1250"
"215","0.644897","74.125.24.119","192.168.137.7","UDP","1292","443  >  37385 Len=1250"
"216","0.649115","74.125.24.119","192.168.137.7","UDP","1292","443  >  37385 Len=1250"
"217","0.652813","74.125.24.119","192.168.137.7","UDP","1292","443  >  37385 Len=1250"
"218","0.653158","74.125.24.119","192.168.137.7","UDP","1292","443  >  37385 Len=1250"
"219","0.653276","74.125.24.119","192.168.137.7","UDP","1292","443  >  37385 Len=1250"
"220","0.653352","74.125.24.119","192.168.137.7","UDP","1292","443  >  37385 Len=1250"
"221","0.653424","74.125.24.119","192.168.137.7","UDP","1292","443  >  37385 Len=1250"
"222","0.653492","74.125.24.119","192.168.137.7","UDP","1292","443  >  37385 Len=1250"
"223","0.653560","74.125.24.119","192.168.137.7","UDP","1292","443  >  37385 Len=1250"
"224","0.653628","74.125.24.119","192.168.137.7","UDP","1292","443  >  37385 Len=1250"
"225","0.653698","74.125.24.119","192.168.137.7","UDP","1292","443  >  37385 Len=1250"
"226","0.653768","74.125.24.119","192.168.137.7","UDP","1292","443  >  37385 Len=1250"
"227","0.653836","74.125.24.119","192.168.137.7","UDP","1292","443  >  37385 Len=1250"
"228","0.653905","74.125.24.119","192.168.137.7","UDP","1292","443  >  37385 Len=1250"
"229","0.653973","74.125.24.119","192.168.137.7","UDP","1292","443  >  37385 Len=1250"
"230","0.654045","74.125.24.119","192.168.137.7","UDP","1292","443  >  37385 Len=1250"
"231","0.654136","74.125.24.119","192.168.137.7","UDP","1292","443  >  37385 Len=1250"
"232","0.654208","74.125.24.119","192.168.137.7","UDP","1292","443  >  37385 Len=1250"
"233","0.654708","74.125.24.119","192.168.137.7","UDP","1292","443  >  37385 Len=1250"
"234","0.654887","74.125.24.119","192.168.137.7","UDP","1292","443  >  37385 Len=1250"
"235","0.654984","74.125.24.119","192.168.137.7","UDP","1292","443  >  37385 Len=1250"
"236","0.655046","74.125.24.119","192.168.137.7","UDP","1292","443  >  37385 Len=1250"
"237","0.655107","74.125.24.119","192.168.137.7","UDP","1292","443  >  37385 Len=1250"
"238","0.655204","74.125.24.119","192.168.137.7","UDP","1292","443  >  37385 Len=1250"
"239","0.655267","74.125.24.119","192.168.137.7","UDP","1292","443  >  37385 Len=1250"
"240","0.655325","74.125.24.119","192.168.137.7","UDP","1292","443  >  37385 Len=1250"
"241","0.655384","74.125.24.119","192.168.137.7","UDP","1292","443  >  37385 Len=1250"
"242","0.655442","74.125.24.119","192.168.137.7","UDP","1292","443  >  37385 Len=1250"
"243","0.655528","74.125.24.119","192.168.137.7","UDP","1292","443  >  37385 Len=1250"
"244","0.655596","74.125.24.119","192.168.137.7","UDP","1292","443  >  37385 Len=1250"
"245","0.655968","192.168.137.7","172.253.118.136","UDP","77","49149  >  443 Len=35"
"246","0.660493","192.168.137.7","74.125.24.119","UDP","78","37385  >  443 Len=36"
"247","0.668916","192.168.137.7","74.125.24.119","UDP","75","37385  >  443 Len=33"
"248","0.679105","192.168.137.7","172.253.118.136","UDP","271","49149  >  443 Len=229"
"249","0.680434","192.168.137.7","64.233.170.113","UDP","79","40907  >  443 Len=37"
"250","0.686043","192.168.137.7","74.125.24.119","UDP","75","37385  >  443 Len=33"
"251","0.690742","74.125.24.119","192.168.137.7","UDP","170","443  >  37385 Len=128"
"252","0.702898","172.253.118.136","192.168.137.7","UDP","90","443  >  49149 Len=48"
"253","0.710233","192.168.137.7","64.233.170.113","UDP","1292","40907  >  443 Len=1250"
"254","0.710233","192.168.137.7","64.233.170.113","UDP","1292","40907  >  443 Len=1250"
"255","0.710233","192.168.137.7","64.233.170.113","UDP","589","40907  >  443 Len=547"
"256","0.710233","192.168.137.7","64.233.170.113","UDP","87","40907  >  443 Len=45"
"257","0.710233","192.168.137.7","74.125.24.119","UDP","75","37385  >  443 Len=33"
"258","0.736936","192.168.137.7","172.253.118.136","UDP","1292","49149  >  443 Len=1250"
"259","0.736936","192.168.137.7","172.253.118.136","UDP","334","49149  >  443 Len=292"
"260","0.751252","192.168.137.7","74.125.24.119","UDP","72","37385  >  443 Len=30"
"261","0.788584","172.253.118.136","192.168.137.7","UDP","69","443  >  49149 Len=27"
"262","0.788793","172.253.118.136","192.168.137.7","UDP","79","443  >  49149 Len=37"
"263","0.792305","192.168.137.7","64.233.170.113","UDP","72","40907  >  443 Len=30"
"264","0.793306","172.253.118.136","192.168.137.7","UDP","63","443  >  49149 Len=21"
"265","0.793447","74.125.24.119","192.168.137.7","UDP","67","443  >  37385 Len=25"
"266","0.793526","64.233.170.113","192.168.137.7","UDP","67","443  >  40907 Len=25"
"267","0.800846","192.168.137.7","172.253.118.136","UDP","77","49149  >  443 Len=35"
"268","0.809062","74.125.24.119","192.168.137.7","UDP","170","443  >  37385 Len=128"
"269","0.823960","192.168.137.7","74.125.24.119","UDP","76","37385  >  443 Len=34"
"270","0.839487","192.168.137.7","172.253.118.136","UDP","74","49149  >  443 Len=32"
"271","0.863599","172.253.118.136","192.168.137.7","UDP","69","443  >  49149 Len=27"
"272","0.886377","192.168.137.7","64.233.170.113","UDP","1292","40907  >  443 Len=1250"
"273","0.888583","192.168.137.7","74.125.24.119","UDP","71","37385  >  443 Len=29"
"274","0.892583","64.233.170.113","192.168.137.7","UDP","92","443  >  40907 Len=50"
"275","0.893179","64.233.170.113","192.168.137.7","UDP","64","443  >  40907 Len=22"
"276","0.893327","172.253.118.136","192.168.137.7","UDP","127","443  >  49149 Len=85"
"277","0.893405","172.253.118.136","192.168.137.7","UDP","65","443  >  49149 Len=23"
"278","0.909222","192.168.137.7","172.253.118.136","UDP","74","49149  >  443 Len=32"
"279","0.922929","192.168.137.7","172.253.118.136","UDP","77","49149  >  443 Len=35"
"280","0.922929","192.168.137.7","64.233.170.113","UDP","79","40907  >  443 Len=37"
"281","0.932850","74.125.24.119","192.168.137.7","UDP","69","443  >  37385 Len=27"
"282","0.951443","64.233.170.113","192.168.137.7","UDP","68","443  >  40907 Len=26"
"283","1.004133","172.253.118.136","192.168.137.7","UDP","66","443  >  49149 Len=24"
"284","1.008647","172.253.118.136","192.168.137.7","UDP","63","443  >  49149 Len=21"
"285","1.008743","64.233.170.113","192.168.137.7","UDP","85","443  >  40907 Len=43"
"286","1.016107","64.233.170.113","192.168.137.7","UDP","70","443  >  40907 Len=28"
"287","1.016233","74.125.24.119","192.168.137.7","UDP","71","443  >  37385 Len=29"
"288","1.016293","64.233.170.113","192.168.137.7","UDP","68","443  >  40907 Len=26"
"289","1.016344","172.253.118.136","192.168.137.7","UDP","66","443  >  49149 Len=24"
"290","1.034532","192.168.137.7","64.233.170.113","UDP","76","40907  >  443 Len=34"
"291","1.034532","192.168.137.7","172.253.118.136","UDP","75","49149  >  443 Len=33"
"292","1.130793","192.168.137.7","57.144.192.196","QUIC","334","Protected Payload (KP0), DCID=b200cf0a049dd493"
"293","1.138462","192.168.137.7","57.144.192.196","QUIC","174","Protected Payload (KP0), DCID=b200cf0a049dd493"
"294","1.178126","57.144.192.196","192.168.137.7","QUIC","90","Protected Payload (KP0)"
"295","1.199159","192.168.137.7","57.144.192.196","QUIC","78","Protected Payload (KP0), DCID=b200cf0a049dd493"
"296","1.249022","57.144.192.196","192.168.137.7","QUIC","90","Protected Payload (KP0)"
